NP_type,Coating,core_size_nm,Surf_charge_mV,shape,Dose_microg_mL,Duration_h,Cell_name,Cell_species,cell_Organ,Cell_morphology,Cell_age,cell_type,sex,Assay,Test_indicator,nanomaterial_group,viability_class
CdSe,None,9.48,,,0.0,22.0,NHBE,Human,Lung,Epithelial,Adult,Normal,,WST-1,TetrazoliumSalt,quantum_dots,0
QDs,SGF,1.5,,,50.0,24.0,Caco_2,Human,Colon,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,0
CdSeTe,None,8.65,,,0.02,24.0,RAG,Mouse,Kidney,Fibroblast,,cancer,,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,RME,4.3,,,0.01,24.0,CHO_K1,Hamster,Ovary,Epithelial,Adult,Normal,female,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,Hypotonic,3.4,,,0.01,0.0,H9C2,Rat,Heart,Myoblast,,cancer,male,Live/Dead,,quantum_dots,0
CdTe,None,6.09,,,0.0,72.0,Mussel,Mussel,Immune-system,Hemocyte,,Normal,,Trypan_Blue,Trypan_Blue,quantum_dots,0
CdSe,None,2.7,,,22.01,24.0,ArakiSasaki,Human,Eye,Epithelial,Adult,Normal,female,SRB,resazurin/sulforhodamine_B,quantum_dots,0
CdSeS,None,6.0,,,0.54,24.0,A549,Human,Lung,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,0
CdTe,None,4.3,,,0.1,12.0,NIH3T3,Mouse,Embryo,Fibroblast,fetus,Normal,,WST-1,TetrazoliumSalt,quantum_dots,0
CdTe,None,3.2,,,0.1,12.0,J774A.1,Mouse,Ascites,Macrophage,Adult,cancer,female,WST-1,TetrazoliumSalt,quantum_dots,1
CdHgTe,None,7.0,,,100.0,48.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,Colonigenic-assay,CrystalViolet,quantum_dots,1
CdSeTe,Cystein_based,4.33,,,1.35,24.0,L929,Mouse,Connective-tissue,Fibroblast,neonate,Normal,male,MTT,TetrazoliumSalt,quantum_dots,0
CdTe,None,4.0,,,40.0,36.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,1
CdSe,None,4.5,,,0.16,24.0,A375,Human,Skin,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,1
CdSe,Serum_based,5.0,,,0.02,18.0,TK6,Human,Spleen,Lymphoblast,Young,cancer,male,Colonigenic-assay,CrystalViolet,quantum_dots,0
CdSe,None,7.5,,,0.1,24.0,SK­BR­3,Human,Breast,Epithelial,Adult,cancer,female,Live/Dead,,quantum_dots,0
CdSeTe,None,12.0,,,0.02,168.0,ABMCs,Pig,BoneMarrow,Stem-cell,Stem,,,MTT,TetrazoliumSalt,quantum_dots,0
CdS,None,2.6,,,1.99,72.0,A549,Human,Lung,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,1
CdSe,None,4.6,,,0.02,24.0,primary,Cow,Eye,Fibroblast,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,sodium_based,3.0,,,8.28,72.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,1
QDs,TGA,11.7,-30.0,,0.0,7.0,PC12,Rat,Adrenal-gland,Irregular,Adult,cancer,male,ApoTox­Glo_Triplex,Caspase_Glo,quantum_dots,0
CdSe,None,4.6,,,0.02,24.0,primary,Cow,Eye,Fibroblast,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,CPP,4.0,,,0.2,4.0,THP_1,Human,Blood,monocyte,neonate,cancer,male,MTS,TetrazoliumSalt,quantum_dots,0
CdTe,None,4.2,,,24.0,12.0,K562,Human,BoneMarrow,Lymphoblast,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,Sulforaphane,6.7,,,30.0,24.0,HHL-5,Human,Liver,Hepatocyte,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,1
CdSe,Arginine_based,4.55,,,1.31,48.0,ECV304,Human,Bladder,Endothelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,1
CdSe,CPP,4.0,,,0.2,4.0,EAhy926,Human,Somatic Cell-hybrid,Endothelial,,Normal,male,MTS,TetrazoliumSalt,quantum_dots,0
CdTe,None,4.5,,,0.3,120.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,1
QD,CyA,5.4,,Sphere,,24.0,SVEC4­10,Mouse,axillary lymph node,Endothelial,Adult,Normal,male,MTS,TetrazoliumSalt,quantum_dots,1
CdSe,His_based,4.3,,,0.02,24.0,HT29,Human,Colon,Epithelial,Adult,cancer,female,WST-1,TetrazoliumSalt,quantum_dots,0
CdSe,Lipofectamine,4.0,,,0.01,24.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,MTS,TetrazoliumSalt,quantum_dots,0
CdS,None,4.5,,,5.8,24.0,Glia,Human,Brain,Neural,,Normal,,SRB,resazurin/sulforhodamine_B,quantum_dots,1
CdTe,None,4.0,,,0.1,24.0,J774A.1,Mouse,Ascites,Macrophage,Adult,cancer,female,Hemolysis,,quantum_dots,0
CdS,None,3.1,,,0.1,72.0,SAOS,Human,Bone,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdTe,None,3.75,,,58.0,24.0,PANC-1,Human,Pancreas,Epithelial,Adult,cancer,male,MTS,TetrazoliumSalt,quantum_dots,0
QD,MPA,5.4,,Sphere,,24.0,SVEC4­10,Mouse,axillary lymph node,Endothelial,Adult,Normal,male,MTS,TetrazoliumSalt,quantum_dots,1
CdTe,None,4.0,,,0.08,72.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,XTT,TetrazoliumSalt,quantum_dots,0
CdSe,None,5.7,,,0.1,0.0,primary,Human,Skin,Fibroblast,,Normal,,MTT,TetrazoliumSalt,quantum_dots,0
CdTe,None,4.0,,,0.08,24.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,XTT,TetrazoliumSalt,quantum_dots,0
CdSe,Lipofectamine,4.0,,,0.0,24.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,MTS,TetrazoliumSalt,quantum_dots,0
CdSe,None,5.4,,,0.5,24.0,J774A.1,Mouse,Ascites,Macrophage,Adult,cancer,female,MTS,TetrazoliumSalt,quantum_dots,0
CdSe,None,5.4,,,0.1,24.0,MDCK,Dog,Kidney,Epithelial,Adult,Normal,female,MTS,TetrazoliumSalt,quantum_dots,0
CdSe,Serum_based,4.81,,,0.02,24.0,THP_1,Human,Blood,monocyte,neonate,cancer,male,Colonigenic-assay,CrystalViolet,quantum_dots,0
CdSe,None,3.0,,,2.07,48.0,COS­1,Monkey,Kidney,Fibroblast,Adult,Normal,,SRB,resazurin/sulforhodamine_B,quantum_dots,0
CdTe,None,4.0,,,0.08,72.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,XTT,TetrazoliumSalt,quantum_dots,1
CdSe,None,5.7,,,0.1,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,None,8.3,,,0.02,4.0,HDF,Human,Skin,Fibroblast,Adult,Normal,,Live/Dead,,quantum_dots,1
CdSe,Arginine_based,4.0,,,0.05,72.0,A549,Human,Lung,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,1
CdSe,None,25.0,,,0.0,72.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,MTT,TetrazoliumSalt,quantum_dots,1
CdSeTe,None,5.0,,,0.44,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,BSA,4.6,,,1.0,6.0,KC,Rat,Liver,Epithelial,,Normal,,MTT,TetrazoliumSalt,quantum_dots,0
CdTe,None,2.0,,,200.0,48.0,T-Cruzi,Protozoa,Microorganism,Somatic,,Normal,,Colonigenic-assay,CrystalViolet,quantum_dots,1
CdTe,None,4.0,,,0.1,24.0,Hepa1-6,Mouse,Liver,Hepatocyte,,cancer,female,Hemolysis,,quantum_dots,0
CdSe,None,5.4,,,0.1,24.0,MDCK,Dog,Kidney,Epithelial,Adult,Normal,female,ECIS,Impedance,quantum_dots,0
CdTe,None,6.2,,,0.0,20.0,B-LCL,Human,Blood,Monocyte,neonate,cancer,,Colonigenic-assay,CrystalViolet,quantum_dots,0
CdTe,Cystein_based,3.3,,,0.23,1.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,SRB,resazurin/sulforhodamine_B,quantum_dots,0
CdSe,Arginine_based,4.0,,,0.45,12.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,None,5.4,,,0.04,8.0,GES-1,Human,Gastic,Epithelial,neonate,Normal,,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,CPP,9.0,,,0.0,168.0,hADAS,Human,Adipose-tissue,Endothelial,Stem,Normal,,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,None,5.5,,,0.31,12.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,Triton-X100,9.0,,,0.2,72.0,Caco_2,Human,Colon,Epithelial,Adult,cancer,male,MTS,TetrazoliumSalt,quantum_dots,1
CdSe,Hydroxyapatite,4.6,,,3.3,8.0,MC3T3-E1,Mouse,Bone,Preosteoblast,neonate,Normal,,Others,,quantum_dots,0
CdS,None,3.0,,,0.22,24.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,1
QDs,Gelatin_based,14.3,-29.0,,0.0,16.0,PC12,Rat,Adrenal-gland,Irregular,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,0
CdTe,None,2.69,,,0.56,0.0,PANC-1,Human,Pancreas,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,nucleic_acids,5.5,,,0.0,72.0,U251,Human,Brain,Epithelial,Adult,cancer,,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,None,6.7,,,0.32,4.0,Erythrocyte,Rabbit,Blood,Erythrocyte,,Normal,,Hemolysis,,quantum_dots,0
CdSeTe,RGD_based,7.68,,,0.28,24.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,Aptamer_based,5.5,,,0.1,24.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,MTS,TetrazoliumSalt,quantum_dots,0
CdSe,None,7.1,,,0.5,16.0,FGSC9935,Fusarium_oxysporum,Microorganism,Somatic,,Normal,,Others,,quantum_dots,0
CdSe,GSH,3.02,,,0.4,24.0,HFB-4,Human,Foreskin,Epithelial,,Normal,male,MTT,TetrazoliumSalt,quantum_dots,0
CdTe,None,4.0,,,0.1,48.0,Hepa1-6,Mouse,Liver,Hepatocyte,,cancer,female,Hemolysis,,quantum_dots,0
CdSe,None,5.7,,,0.1,2.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,None,65.0,,,0.0,24.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,GSH,3.02,,,0.4,24.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdSeTe,HSV_TK_based,12.0,,,0.03,96.0,Hep3B,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,Poloxamer,7.7,,,0.03,48.0,HUVEC,Human,Umbilical,Endothelial,fetus,Normal,,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,None,8.3,,,0.1,24.0,HFF,Human,Foreskin,Fibroblast,neonate,Normal,male,Live/Dead,,quantum_dots,0
CdSe,Saponin,3.4,,,0.01,0.0,H9C2,Rat,Heart,Myoblast,,cancer,male,Live/Dead,,quantum_dots,0
CdSe,Anthracene,5.0,,,10.0,24.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdTe,RGD_based,4.0,,,0.02,168.0,hMSCs,Human,BoneMarrow,Mesenchymal,Adult,Normal,,SRB,resazurin/sulforhodamine_B,quantum_dots,0
CdSe,None,4.5,,,1.25,4.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,None,5.0,,,0.1,144.0,M-Sativa,Plant_Alfalfa,Seed,Germ-cell,,Normal,,FDA,,quantum_dots,1
CdSe,None,4.8,,,0.1,3.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,SRB,resazurin/sulforhodamine_B,quantum_dots,0
CdSe,DMSA,6.0,,,0.0,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,WST-1,TetrazoliumSalt,quantum_dots,0
CdTe,Leukotriene-Antagonist,5.06,,,0.21,24.0,MDCK,Dog,Kidney,Epithelial,Adult,Normal,female,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,None,5.5,,,0.4,24.0,MDA­MB­231,Human,Breast,Epithelial,Adult,cancer,female,MTS,TetrazoliumSalt,quantum_dots,0
CdSe,GlycyrrhizicAcid,3.5,,,1.31,48.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,Phe,4.1,,,1.62,48.0,ECV304,Human,Bladder,Endothelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,1
CdTe,None,2.6,,,3.0,24.0,K562,Human,BoneMarrow,Lymphoblast,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,1
CdTe,None,3.1,,,0.02,96.0,P-tricornutum,Microalgae,Microorganism,Somatic,,Normal,,Colonigenic-assay,CrystalViolet,quantum_dots,0
CdS,None,4.0,,,0.03,4.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,Methallothionein,1.13,,,22.75,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,1
CdSe,None,6.7,,,0.0,24.0,HaCat,Human,Skin,Keratinocyte,Adult,Normal,male,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,None,4.1,,,3.52,24.0,EAhy926,Human,Somatic Cell-hybrid,Endothelial,,Normal,male,MTT,TetrazoliumSalt,quantum_dots,1
CdTe,None,2.8,,,2.96,2.0,Erythrocyte,Rabbit,Blood,Erythrocyte,,Normal,,Hemolysis,,quantum_dots,0
CdTe,None,2.2,,,4.07,12.0,L929,Mouse,Connective-tissue,Fibroblast,neonate,Normal,male,Live/Dead,,quantum_dots,1
CdSe,CPP,4.0,,,0.1,2.0,COS­1,Monkey,Kidney,Fibroblast,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,Hydroxyapatite,4.6,,,3.3,1.0,MC3T3-E1,Mouse,Bone,Preosteoblast,neonate,Normal,,Others,,quantum_dots,0
CdSe,None,25.0,,,0.0,24.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,None,9.0,,,0.01,24.0,hMSCs,Human,BoneMarrow,Mesenchymal,Adult,Normal,,LDH,LDHrelease,quantum_dots,0
CdSe,Arginine_based,4.0,,,0.45,6.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdTe,Cystein_based,,,,0.19,24.0,SH­SY5Y,Human,BoneMarrow,Epithelial,Young,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdTe,None,3.3,,,33.0,8.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,0
CdTe,None,2.7,,,30.0,2.0,K562,Human,BoneMarrow,Lymphoblast,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdS,None,3.0,,,0.5,24.0,Caco_2,Human,Colon,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,None,4.8,,,0.1,24.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,SRB,resazurin/sulforhodamine_B,quantum_dots,0
CdTe,None,2.6,,,3.0,0.0,K562,Human,BoneMarrow,Lymphoblast,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,Transferrin_based,5.4,,,3.2,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,sodium_based,103.0,,,0.0,72.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,MTT,TetrazoliumSalt,quantum_dots,1
CdSe,CPP,9.0,,,0.0,24.0,hADAS,Human,Adipose-tissue,Endothelial,Stem,Normal,,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,None,4.5,,,0.05,24.0,BEAS_2B,Human,Lung,Epithelial,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,1
CdSe,None,9.0,,,0.0,72.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,MTS,TetrazoliumSalt,quantum_dots,0
CdSe,Arginine_based,4.0,,,0.45,12.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,Transferrin_based,5.4,,,3.2,72.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdTe,Cystein_based,5.8,,,2.98,24.0,hMSCs,Human,BoneMarrow,Mesenchymal,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,0
QD,GSH,20.9,-23.8,Sphere,,24.0,HaCat,Human,Skin,Keratinocyte,Adult,Normal,male,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,SA_based,5.5,,,0.0,24.0,EPC,Human,BoneMarrow,Endothelial,,Normal,,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,None,6.5,,,1.0,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
QDs,Gelatin_based,5.3,-42.0,,0.0,7.0,PC12,Rat,Adrenal-gland,Irregular,Adult,cancer,male,ApoTox­Glo_Triplex,Caspase_Glo,quantum_dots,0
CdSe,Doxorubicin,7.15,,,0.01,1.0,SK­BR­3,Human,Breast,Epithelial,Adult,cancer,female,Luciferase-assay,,quantum_dots,0
CdS,None,67.5,,,4.1,6.0,R-Niger,Yeast,Microorganism,Somatic,,Normal,,FDA,,quantum_dots,0
CdSe,None,6.0,,,0.08,24.0,IGROV-1,Human,Ovary,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdTe,None,3.5,,,271.47,24.0,SPCA1,Human,Lung,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,1
CdSe,None,5.4,,,0.1,48.0,MDCK,Dog,Kidney,Epithelial,Adult,Normal,female,ECIS,Impedance,quantum_dots,1
CdSe,Transferrin_based,5.4,,,3.2,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdSeTe,None,8.65,,,0.02,240.0,ABMCs,Pig,BoneMarrow,Stem-cell,Stem,,,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,None,6.7,,,30.0,24.0,ATG5-MEF,Mouse,Embryo,Stem-cell,Stem,cancer,male,MTT,TetrazoliumSalt,quantum_dots,1
CdSe,TAT,4.3,,,0.01,24.0,NIH3T3,Mouse,Embryo,Fibroblast,fetus,Normal,,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,CPP,3.01,,,0.2,3.0,COS­1,Monkey,Kidney,Fibroblast,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,CPP,3.01,,,0.2,3.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,None,4.0,,,0.0,72.0,R-reticulata,Microalgae,Microorganism,Somatic,,,,Colonigenic-assay,CrystalViolet,quantum_dots,1
CdSe,Folic_acid_based,6.0,,,0.1,2.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdSe,None,5.0,,,0.1,120.0,M-Sativa,Plant_Alfalfa,Seed,Germ-cell,,Normal,,FDA,,quantum_dots,0
CdSe,None,4.5,,,0.5,24.0,A549,Human,Lung,Epithelial,Adult,cancer,male,Live/Dead,,quantum_dots,1
CdSeS,None,6.0,,,0.0,72.0,C-Vulgaris,Microalgae,Microorganism,Somatic,,Normal,,Colonigenic-assay,CrystalViolet,quantum_dots,0
CdTe,None,2.9,,,0.02,24.0,P-tricornutum,Microalgae,Microorganism,Somatic,,Normal,,Colonigenic-assay,CrystalViolet,quantum_dots,0
CdSe,GlycyrrhizicAcid,3.5,,,3.58,48.0,ECV304,Human,Bladder,Endothelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,0
CdTe,Folic_acid_based,6.0,,,0.0,24.0,A549,Human,Lung,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,0
CdSeS,NLS,,,,0.0,1.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,XTT,TetrazoliumSalt,quantum_dots,0
CdTe,Cystein_based,2.9,,,0.22,12.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,1
CdTe,None,6.0,,,100.0,24.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,1
CdSeTe,None,12.0,,,0.01,16.0,BMDC,Mouse,BoneMarrow,Dendritic,,Normal,,MTT,TetrazoliumSalt,quantum_dots,0
CdTe,None,5.3,,,0.02,4.0,Raji,Human,Lymph,Lymphocyte,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,0
CdSeTe,None,8.65,,,0.02,6.0,RAG,Mouse,Kidney,Fibroblast,,cancer,,MTT,TetrazoliumSalt,quantum_dots,0
