NP_type,Coating,core_size_nm,Surf_charge_mV,shape,Dose_microg_mL,Duration_h,Cell_name,Cell_species,cell_Organ,Cell_morphology,Cell_age,cell_type,sex,Assay,Test_indicator,nanomaterial_group,Viability
CdSe,None,4.0,,,0.2,4.0,EAhy926,Human,Somatic Cell-hybrid,Endothelial,,Normal,male,MTS,TetrazoliumSalt,quantum_dots,88.0
CdSe,CPP,4.0,,,0.2,1.0,EAhy926,Human,Somatic Cell-hybrid,Endothelial,,Normal,male,MTS,TetrazoliumSalt,quantum_dots,79.0
CdSe,None,7.0,,,0.45,24.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,SRB,resazurin/sulforhodamine_B,quantum_dots,65.82
CdSe,nucleic_acids,5.0,,,0.01,4.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,MTS,TetrazoliumSalt,quantum_dots,105.0
CdSe,None,5.0,,,0.08,8.0,HSF-42,Human,Skin,Fibroblast,,,,MTT,TetrazoliumSalt,quantum_dots,80.0
CdSe,None,3.2,,,5.0,48.0,K562,Human,BoneMarrow,Lymphoblast,Adult,cancer,female,FACS,fluorescent,quantum_dots,97.0
CdSe,None,4.98,,,0.02,22.0,NHBE,Human,Lung,Epithelial,Adult,Normal,,WST-1,TetrazoliumSalt,quantum_dots,145.0
CdS,None,4.5,,,1.45,24.0,Hepatocyte,Rat,Liver,Hepatocyte,,Normal,,MTT,TetrazoliumSalt,quantum_dots,92.78
CdSe,None,9.0,,,0.02,24.0,MEF,Mouse,embryo,Fibroblast,neonate,Normal,,Live/Dead,,quantum_dots,65.0
CdSe,None,2.7,,,22.01,48.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,SRB,resazurin/sulforhodamine_B,quantum_dots,88.0
CdSe,None,5.4,,,3.2,72.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,59.0
CdTe,None,5.0,,,0.05,2.0,HT29,Human,Colon,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,85.29
CdSe,GlycyrrhizicAcid,3.5,,,0.98,48.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,50.0
CdTe,GSH,3.3,,,10.0,24.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,58.86
CdTe,None,7.0,,,100.0,48.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,Colonigenic-assay,CrystalViolet,quantum_dots,16.67
CdSe,None,6.0,,,1.59,48.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,80.0
CdTe,None,2.3,,,0.96,48.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,13.24
CdTe,None,4.0,,,1.0,24.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,Calcein,CalceinAM,quantum_dots,92.31
CdSeTe,HSV_TK_based,12.0,,,0.01,48.0,SMMC-7721,Human,Liver,Hepatocyte,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,97.87
CdSe,None,3.8,,,0.0,48.0,A549,Human,Lung,Epithelial,Adult,cancer,male,WST-1,TetrazoliumSalt,quantum_dots,66.88
CdSe,PULsin,3.01,,,0.1,3.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,MTT,TetrazoliumSalt,quantum_dots,53.0
CdTe,None,4.6,,,0.3,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,79.0
CdSeTe,HSV_TK_based,12.0,,,0.01,48.0,Hep3B,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,97.94
CdTe,None,4.5,,,0.3,168.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,16.4
CdS,None,4.5,,,1.45,48.0,Hepatocyte,Rat,Liver,Hepatocyte,,Normal,,MTT,TetrazoliumSalt,quantum_dots,85.71
CdSe,None,7.15,,,0.01,72.0,ESC,Mouse,Embryo,Stem-cell,Stem,Normal,,Trypan_Blue,Trypan_Blue,quantum_dots,96.15
CdTe,None,3.32,,,0.74,4.0,PANC-1,Human,Pancreas,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,75.0
CdTe,None,3.9,,,0.1,12.0,J774A.1,Mouse,Ascites,Macrophage,Adult,cancer,female,WST-1,TetrazoliumSalt,quantum_dots,69.49
CdTe,None,3.17,,,0.17,24.0,Cd-Resistant-MT-Null,Mouse,Embryo,Fibroblast,,Normal,,WST-1,TetrazoliumSalt,quantum_dots,46.15
CdTe,None,4.0,,,0.08,48.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,XTT,TetrazoliumSalt,quantum_dots,70.59
CdTe,None,3.1,,,0.02,72.0,P-tricornutum,Microalgae,Microorganism,Somatic,,Normal,,Colonigenic-assay,CrystalViolet,quantum_dots,78.75
CdSe,His_based,4.3,,,0.02,24.0,OUS-11,Human,Lung,Fibroblast,Adult,Normal,male,WST-1,TetrazoliumSalt,quantum_dots,110.0
CdSe,None,4.8,,,0.1,6.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,SRB,resazurin/sulforhodamine_B,quantum_dots,94.67
CdSe,PolyFect,9.0,,,0.0,24.0,hADAS,Human,Adipose-tissue,Endothelial,Stem,Normal,,MTT,TetrazoliumSalt,quantum_dots,77.78
CdTe,None,5.3,,,0.02,48.0,HL-7702,Human,Liver,Hepatocyte,,Normal,,MTT,TetrazoliumSalt,quantum_dots,58.1
CdHgTe,None,3.0,,,0.12,24.0,L929,Mouse,Connective-tissue,Fibroblast,neonate,Normal,male,MTT,TetrazoliumSalt,quantum_dots,68.42
CdTe,L_GSH_based,4.2,,,0.04,12.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,induction-of-autophagy,,quantum_dots,62.0
CdSe,None,7.15,,,0.01,168.0,hMSCs,Human,BoneMarrow,Mesenchymal,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,105.0
CdTe,None,2.9,,,0.1,12.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,WST-1,TetrazoliumSalt,quantum_dots,35.0
QDs,PEG_based,37.0,,,0.01,24.0,SK­BR­3,Human,Breast,Epithelial,Adult,cancer,female,Live/Dead,CalceinAM,quantum_dots,98.96
CdSe,None,7.0,,,0.45,72.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,SRB,resazurin/sulforhodamine_B,quantum_dots,62.26
CdSe,None,8.3,,,0.02,0.0,HFF,Human,Foreskin,Fibroblast,neonate,Normal,male,Live/Dead,,quantum_dots,93.5
CdSe,His_based,4.3,,,0.02,24.0,PC3,Human,Prostate,Epithelial,Adult,cancer,male,WST-1,TetrazoliumSalt,quantum_dots,105.0
CdSe,Transferrin_based,6.1,,,0.25,2.0,A549,Human,Lung,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,100.0
CdTe,None,4.5,,,3.0,0.0,K562,Human,BoneMarrow,Lymphoblast,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,100.0
CdSe,None,7.2,,,0.01,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,WST-1,TetrazoliumSalt,quantum_dots,67.61
CdTe,None,3.5,,,1.89,24.0,L929,Mouse,Connective-tissue,Fibroblast,neonate,Normal,male,MTT,TetrazoliumSalt,quantum_dots,24.58
CdSe,None,9.0,,,0.21,72.0,hMSCs,Human,BoneMarrow,Mesenchymal,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,100.0
CdSeTe,None,12.0,,,0.01,6.0,BcaCD885,Human,Skin,Epithelial,,cancer,,Colonigenic-assay,CrystalViolet,quantum_dots,99.24
CdSe,None,7.0,,,1.0,24.0,A549,Human,Lung,Epithelial,Adult,cancer,male,WST-1,TetrazoliumSalt,quantum_dots,80.0
CdTe,None,5.0,,,4.13,24.0,L929,Mouse,Connective-tissue,Fibroblast,neonate,Normal,male,MTT,TetrazoliumSalt,quantum_dots,47.37
CdTe,RGD_based,4.0,,,0.02,72.0,hMSCs,Human,BoneMarrow,Mesenchymal,Adult,Normal,,SRB,resazurin/sulforhodamine_B,quantum_dots,99.4
CdTe,None,5.3,,,0.02,72.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,MTT,TetrazoliumSalt,quantum_dots,17.62
CdSe,None,9.0,,,0.0,24.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,59.78
CdS,None,4.5,,,5.8,24.0,HUVEC,Human,Umbilical,Endothelial,fetus,Normal,,SRB,resazurin/sulforhodamine_B,quantum_dots,60.0
CdSeTe,None,4.3,,,0.08,48.0,J774A.1,Mouse,Ascites,Macrophage,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,50.0
CdTe,None,1.0,,,0.11,24.0,HUVEC,Human,Umbilical,Endothelial,fetus,Normal,,MTS,TetrazoliumSalt,quantum_dots,92.0
CdTe,None,3.6,,,0.02,84.0,Hydra,Hydra,Polyp,Stem-cell,Stem,,,APO_BrdU_TUNEL,BrdUTP,quantum_dots,72.73
CdSe,Anthracene,5.0,,,10.0,48.0,PC3,Human,Prostate,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,61.0
CdSe,None,6.0,,,0.0,48.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,WST-1,TetrazoliumSalt,quantum_dots,67.0
CdSe,Cystein_based,4.8,,,0.1,6.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,SRB,resazurin/sulforhodamine_B,quantum_dots,106.67
CdSe,GlycyrrhizicAcid,4.0,,,0.89,48.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,50.0
CdSe,None,9.0,,,0.02,576.0,hMSCs,Human,BoneMarrow,Mesenchymal,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,84.62
CdTe,Cystein_based,,,,5.0,2.0,Hepatocyte,Mouse,Liver,Hepatocyte,,Normal,,WST-1,TetrazoliumSalt,quantum_dots,66.67
CdSe,Transferrin_based,5.4,,,3.2,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,88.0
CdTe,None,5.3,,,0.1,48.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,1.72
CdTe,Cystein_based,,,,1000.0,24.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,70.0
CdTe,None,4.21,,,0.25,24.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,SRB,resazurin/sulforhodamine_B,quantum_dots,107.5
QDs,None,1.4,,,50.0,24.0,Caco_2,Human,Colon,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,4.92
CdSe,RGD_based,5.5,,,0.01,24.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,WST-1,TetrazoliumSalt,quantum_dots,84.72
CdSe,None,7.5,,,0.15,4.0,SK­BR­3,Human,Breast,Epithelial,Adult,cancer,female,Live/Dead,,quantum_dots,80.0
CdTe,None,2.8,,,4.93,3.0,Erythrocyte,Rabbit,Blood,Erythrocyte,,Normal,,Hemolysis,,quantum_dots,84.5
CdSe,None,4.6,,,0.02,240.0,ABMCs,Pig,BoneMarrow,Stem-cell,Stem,,,MTT,TetrazoliumSalt,quantum_dots,93.0
CdSe,Arginine_based,3.4,,,0.0,2.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,LDH,LDHrelease,quantum_dots,78.0
CdSeS,None,4.7,,,0.2,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,87.5
CdSe,None,9.0,,,0.3,48.0,ESC,Mouse,Embryo,Stem-cell,Stem,Normal,,Trypan_Blue,Trypan_Blue,quantum_dots,43.33
CdTe,None,7.0,,,4.0,24.0,HL-7702,Human,Liver,Hepatocyte,,Normal,,MTT,TetrazoliumSalt,quantum_dots,82.0
CdSe,SA_based,5.5,,,0.0,12.0,EPC,Human,BoneMarrow,Endothelial,,Normal,,MTT,TetrazoliumSalt,quantum_dots,96.28
CdSe,Saponin,3.4,,,0.01,0.0,H9C2,Rat,Heart,Myoblast,,cancer,male,Live/Dead,,quantum_dots,87.1
CdTe,Doxorubicin,3.0,,,1.75,4.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,50.0
CdSe,None,4.6,,,1.0,6.0,KC,Rat,Liver,Epithelial,,Normal,,MTT,TetrazoliumSalt,quantum_dots,100.0
CdTe,None,3.36,,,0.97,24.0,HUVEC,Human,Umbilical,Endothelial,fetus,Normal,,MTT,TetrazoliumSalt,quantum_dots,22.0
CdS,None,65.0,,,21.59,24.0,S-Cerevisiae,Yeast,Microorganism,Somatic,,Normal,,Colonigenic-assay,CrystalViolet,quantum_dots,35.0
CdSe,NLS,,,,0.01,24.0,CHO_K1,Hamster,Ovary,Epithelial,Adult,Normal,female,MTT,TetrazoliumSalt,quantum_dots,81.37
CdTe,FuGENE-HD,7.0,,,2.0,24.0,CFSC-2G,Rat,Liver,Pericyte,,Normal,male,MTT,TetrazoliumSalt,quantum_dots,84.23
CdSe,None,5.0,,,0.11,24.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,35.0
CdS,None,3.0,,,0.5,24.0,MDA­MB­231,Human,Breast,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,75.0
CdSe,None,8.3,,,0.02,2.0,HFF,Human,Foreskin,Fibroblast,neonate,Normal,male,Live/Dead,,quantum_dots,35.8
CdSe,None,5.0,,,0.01,1.0,SW1990,Human,Pancreas,Epithelial,Adult,cancer,male,WST-1,TetrazoliumSalt,quantum_dots,80.0
CdSe,None,4.8,,,0.1,6.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,SRB,resazurin/sulforhodamine_B,quantum_dots,94.67
CdTe,None,5.3,,,0.02,4.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,MTT,TetrazoliumSalt,quantum_dots,96.87
CdS,None,6.0,,,0.31,24.0,BY4742,Yeast,Microorganism,Somatic,,Normal,,Live/Dead,,quantum_dots,90.7
CdSeTe,HSV_TK_based,12.0,,,0.01,72.0,Hep3B,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,98.97
CdSe,None,3.0,,,10.35,24.0,A549,Human,Lung,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,75.0
CdSe,None,5.5,,,0.42,24.0,BHK-21,Hamster,Kidney,Fibroblast,,cancer,,MTT,TetrazoliumSalt,quantum_dots,22.0
CdSe,None,5.7,,,0.1,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,81.63
CdSe,CPP,4.0,,,0.2,1.0,THP_1,Human,Blood,monocyte,neonate,cancer,male,MTS,TetrazoliumSalt,quantum_dots,73.0
CdS,None,5.0,,,10.0,72.0,EAhy926,Human,Somatic Cell-hybrid,Endothelial,,Normal,male,SRB,resazurin/sulforhodamine_B,quantum_dots,34.88
CdTe,Mycelium,,,,0.6,24.0,NIH3T3,Mouse,Embryo,Fibroblast,fetus,Normal,,MTT,TetrazoliumSalt,quantum_dots,87.0
CdSeS,nucleic_acids,10.0,,,0.0,48.0,U87,Human,Brain,Epithelial,Adult,cancer,male,MTS,TetrazoliumSalt,quantum_dots,100.0
CdTe,None,2.5,,,0.35,24.0,PC12,Rat,Adrenal-gland,Irregular,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,38.0
CdTe,None,3.7,,,3.0,48.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,MTT,TetrazoliumSalt,quantum_dots,14.0
CdSe,Folic_acid_based,6.0,,,3.32,12.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,WST-1,TetrazoliumSalt,quantum_dots,74.6
CdTe,None,2.6,,,3.0,24.0,K562,Human,BoneMarrow,Lymphoblast,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,35.0
CdSe,None,5.6,,,0.4,4.0,COS­1,Monkey,Kidney,Fibroblast,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,104.57
CdSe,Sulforaphane,6.7,,,30.0,24.0,ATG5-MEF,Mouse,Embryo,Stem-cell,Stem,cancer,male,MTT,TetrazoliumSalt,quantum_dots,5.0
CdSe,Arginine_based,2.4,,,0.15,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,WST-1,TetrazoliumSalt,quantum_dots,90.74
CdSe,None,4.8,,,0.1,3.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,SRB,resazurin/sulforhodamine_B,quantum_dots,106.67
CdSeTe,SA_based,8.65,,,0.01,24.0,H1650,Human,Lung,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,100.38
CdSeS,None,10.0,,,0.01,24.0,U251,Human,Brain,Epithelial,Adult,cancer,,MTS,TetrazoliumSalt,quantum_dots,92.0
CdTe,None,4.0,,,0.5,24.0,A549,Human,Lung,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,31.71
CdSeTe,None,8.65,,,0.02,6.0,RAG,Mouse,Kidney,Fibroblast,,cancer,,MTT,TetrazoliumSalt,quantum_dots,86.0
CdS,None,20.0,,,0.08,24.0,VERO,Monkey,Kidney,Epithelial,Adult,Normal,,MTT,TetrazoliumSalt,quantum_dots,18.82
CdTe,None,4.0,,,0.5,24.0,A549,Human,Lung,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,41.46
CdTe,HSV_TK_based,3.9,,,1.0,72.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,74.68
CdS,RGD_based,2.3,,,0.05,24.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,MTT,TetrazoliumSalt,quantum_dots,95.0
CdSe,None,4.5,,,0.5,24.0,K562,Human,BoneMarrow,Lymphoblast,Adult,cancer,female,Live/Dead,,quantum_dots,16.0
CdSe,SA_based,7.15,,,0.04,1.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTS,TetrazoliumSalt,quantum_dots,85.09
CdS,None,6.0,,,0.24,24.0,CHL,Hamster,Lung,Fibroblast,neonate,Normal,female,MTT,TetrazoliumSalt,quantum_dots,20.0
CdSeTe,None,8.65,,,0.02,240.0,ABMCs,Pig,BoneMarrow,Stem-cell,Stem,,,MTT,TetrazoliumSalt,quantum_dots,101.0
